"","Player","Overs","Mdns","Runs","Wkts","Econ","Inns","","Opposition","Ground","Start Date","","Country","Date","Year","Day","Month","Yday","BPO","type"
"1","NM Lyon (AUS)",22.2,4,50,"8","2.23","1","","v India","Bengaluru","4 Mar 2017","","AUS",2017-03-04,2017,4,3,63,6,"Test"
"2","Rashid Khan (AFG)",8.4,1,18,"7","2.07","2","","v West Indies","Gros Islet","9 Jun 2017","","AFG",2017-06-09,2017,9,6,160,6,"ODI"
"3","Yasir Shah (PAK)",39.5,12,94,"7","2.35","3","","v West Indies","Bridgetown","30 Apr 2017","","PAK",2017-04-30,2017,30,4,120,6,"Test"
"4","YS Chahal (INDIA)",4,0,25,"6","6.25","2","","v England","Bengaluru","1 Feb 2017","","INDIA",2017-02-01,2017,1,2,32,6,"T20I"
"5","TA Boult (NZ)",10,1,33,"6","3.30","2","","v Australia","Hamilton","5 Feb 2017","","NZ",2017-02-05,2017,5,2,36,6,"ODI"
"6","Zahoor Khan (UAE)",6.3,0,34,"6","5.23","1","","v Ireland","ICCA Dubai","2 Mar 2017","","UAE",2017-03-02,2017,2,3,61,6,"ODI"
"7","SNJ O'Keefe (AUS)",13.1,2,35,"6","2.65","2","","v India","Pune","23 Feb 2017","","AUS",2017-02-23,2017,23,2,54,6,"Test"
"8","SNJ O'Keefe (AUS)",15,4,35,"6","2.33","4","","v India","Pune","23 Feb 2017","","AUS",2017-02-23,2017,23,2,54,6,"Test"
"9","KA Maharaj (SA)",20.2,7,40,"6","1.96","3","","v New Zealand","Wellington","16 Mar 2017","","SA",2017-03-16,2017,16,3,75,6,"Test"
"10","R Ashwin (INDIA)",12.4,4,41,"6","3.23","4","","v Australia","Bengaluru","4 Mar 2017","","INDIA",2017-03-04,2017,4,3,63,6,"Test"
"11","Rashid Khan (AFG)",9.3,0,43,"6","4.52","2","","v Ireland","Greater Noida","17 Mar 2017","","AFG",2017-03-17,2017,17,3,76,6,"ODI"
"12","Mohammad Amir (PAK)",26,11,44,"6","1.69","1","","v West Indies","Kingston","21 Apr 2017","","PAK",2017-04-21,2017,21,4,111,6,"Test"
"13","JR Hazlewood (AUS)",9,0,52,"6","5.77","1","","v New Zealand","Birmingham","2 Jun 2017","","AUS",2017-06-02,2017,2,6,153,6,"ODI"
"14","MM Ali (ENG)",15,4,53,"6","3.53","4","","v South Africa","Lord's","6 Jul 2017","","ENG",2017-07-06,2017,6,7,187,6,"Test"
"15","K Rabada (SA)",17,3,55,"6","3.23","4","","v Sri Lanka","Cape Town","2 Jan 2017","","SA",2017-01-02,2017,2,1,2,6,"Test"
"16","PR Stirling (IRE)",10,0,55,"6","5.50","1","","v Afghanistan","Greater Noida","17 Mar 2017","","IRE",2017-03-17,2017,17,3,76,6,"ODI"
"17","HMRKB Herath (SL)",20.2,5,59,"6","2.90","4","","v Bangladesh","Galle","7 Mar 2017","","SL",2017-03-07,2017,7,3,66,6,"Test"
"18","RA Jadeja (INDIA)",21.4,1,63,"6","2.90","2","","v Australia","Bengaluru","4 Mar 2017","","INDIA",2017-03-04,2017,4,3,63,6,"Test"
