"","Player","Runs","Mins","BF","4s","6s","SR","Inns","","Opposition","Ground","Start Date","","Country","Notout","Date","Year","Day","Month","Yday","Fours","Sixs","type"
"1","Shakib Al Hasan (BDESH)",217,"418",276,"31","0",78.62,"1","","v New Zealand","Wellington","12 Jan 2017","","BDESH","",2017-01-12,2017,12,1,12,31,0,"Test"
"2","V Kohli (INDIA)",204,"295",246,"24","0",82.92,"1","","v Bangladesh","Hyderabad (Deccan)","9 Feb 2017","","INDIA","",2017-02-09,2017,9,2,40,24,0,"Test"
"3","CA Pujara (INDIA)",202,"672",525,"21","0",38.47,"2","","v Australia","Ranchi","16 Mar 2017","","INDIA","",2017-03-16,2017,16,3,75,21,0,"Test"
"4","BKG Mendis (SL)",194,"441",285,"19","4",68.07,"1","","v Bangladesh","Galle","7 Mar 2017","","SL","",2017-03-07,2017,7,3,66,19,4,"Test"
"5","JE Root (ENG)",190,"375",234,"27","1",81.19,"1","","v South Africa","Lord's","6 Jul 2017","","ENG","",2017-07-06,2017,6,7,187,27,1,"Test"
"6","S Dhawan (INDIA)",190,"235",168,"31","0",113.09,"1","","v Sri Lanka","Galle","26 Jul 2017","","INDIA","",2017-07-26,2017,26,7,207,31,0,"Test"
"7","F du Plessis (SA)",185,"212",141,"16","3",131.2,"1","","v Sri Lanka","Cape Town","7 Feb 2017","","SA","",2017-02-07,2017,7,2,38,16,3,"ODI"
"8","MT Renshaw (AUS)",184,"413",293,"20","0",62.79,"1","","v Pakistan","Sydney","3 Jan 2017","","AUS","",2017-01-03,2017,3,1,3,20,0,"Test"
"9","MJ Guptill (NZ)",180,"198",138,"15","11",130.43,"2","","v South Africa","Hamilton","1 Mar 2017","","NZ","TRUE",2017-03-01,2017,1,3,60,15,11,"ODI"
"10","DA Warner (AUS)",179,"186",128,"19","5",139.84,"1","","v Pakistan","Adelaide","26 Jan 2017","","AUS","",2017-01-26,2017,26,1,26,19,5,"ODI"
"11","SPD Smith (AUS)",178,"512",361,"17","0",49.3,"1","","v India","Ranchi","16 Mar 2017","","AUS","TRUE",2017-03-16,2017,16,3,75,17,0,"Test"
"12","TWM Latham (NZ)",177,"463",329,"18","1",53.79,"2","","v Bangladesh","Wellington","12 Jan 2017","","NZ","",2017-01-12,2017,12,1,12,18,1,"Test"
"13","KS Williamson (NZ)",176,"453",285,"16","3",61.75,"2","","v South Africa","Hamilton","25 Mar 2017","","NZ","",2017-03-25,2017,25,3,84,16,3,"Test"
"14","Younis Khan (PAK)",175,"443",334,"17","3",52.39,"2","","v Australia","Sydney","3 Jan 2017","","PAK","TRUE",2017-01-03,2017,3,1,3,17,3,"Test"
"15","CR Ervine (ZIM)",160,"347",256,"13","1",62.5,"1","","v Sri Lanka","Colombo (RPS)","14 Jul 2017","","ZIM","",2017-07-14,2017,14,7,195,13,1,"Test"
"16","Mushfiqur Rahim (BDESH)",159,"365",260,"23","1",61.15,"1","","v New Zealand","Wellington","12 Jan 2017","","BDESH","",2017-01-12,2017,12,1,12,23,1,"Test"
"17","JP Duminy (SA)",155,"293",221,"19","0",70.13,"1","","v Sri Lanka","Johannesburg","12 Jan 2017","","SA","",2017-01-12,2017,12,1,12,19,0,"Test"
"18","HM Amla (SA)",154,"217",134,"15","5",114.92,"1","","v Sri Lanka","Centurion","10 Feb 2017","","SA","",2017-02-10,2017,10,2,41,15,5,"ODI"
"19","CA Pujara (INDIA)",153,"381",265,"13","0",57.73,"1","","v Sri Lanka","Galle","26 Jul 2017","","INDIA","",2017-07-26,2017,26,7,207,13,0,"Test"
"20","Yuvraj Singh (INDIA)",150,"183",127,"21","3",118.11,"1","","v England","Cuttack","19 Jan 2017","","INDIA","",2017-01-19,2017,19,1,19,21,3,"ODI"
"21","MP Stoinis (AUS)",146,"161",117,"9","11",124.78,"2","","v New Zealand","Auckland","30 Jan 2017","","AUS","TRUE",2017-01-30,2017,30,1,30,9,11,"ODI"
"22","FDM Karunaratne (SL)",141,"377",307,"16","0",45.92,"3","","v India","Colombo (SSC)","3 Aug 2017","","SL","",2017-08-03,2017,3,8,215,16,0,"Test"
"23","D Elgar (SA)",140,"410",299,"24","0",46.82,"1","","v New Zealand","Dunedin","8 Mar 2017","","SA","",2017-03-08,2017,8,3,67,24,0,"Test"
"24","LD Chandimal (SL)",138,"413",300,"10","1",46,"1","","v Bangladesh","Colombo (PSS)","15 Mar 2017","","SL","",2017-03-15,2017,15,3,74,10,1,"Test"
"25","D Elgar (SA)",136,"332",228,"20","0",59.64,"4","","v England","The Oval","27 Jul 2017","","SA","",2017-07-27,2017,27,7,208,20,0,"Test"
"26","HM Amla (SA)",134,"391",265,"16","0",50.56,"1","","v Sri Lanka","Johannesburg","12 Jan 2017","","SA","",2017-01-12,2017,12,1,12,16,0,"Test"
"27","MS Dhoni (INDIA)",134,"203",122,"10","6",109.83,"1","","v England","Cuttack","19 Jan 2017","","INDIA","",2017-01-19,2017,19,1,19,10,6,"ODI"
"28","JE Root (ENG)",133,"202",129,"11","1",103.1,"2","","v Bangladesh","The Oval","1 Jun 2017","","ENG","TRUE",2017-06-01,2017,1,6,152,11,1,"ODI"
"29","CA Pujara (INDIA)",133,"323",232,"11","1",57.32,"1","","v Sri Lanka","Colombo (SSC)","3 Aug 2017","","INDIA","",2017-08-03,2017,3,8,215,11,1,"Test"
"30","AM Rahane (INDIA)",132,"284",222,"14","0",59.45,"1","","v Sri Lanka","Colombo (SSC)","3 Aug 2017","","INDIA","",2017-08-03,2017,3,8,215,14,0,"Test"
"31","RL Chase (WI)",131,"317",210,"17","0",62.38,"1","","v Pakistan","Bridgetown","30 Apr 2017","","WI","",2017-04-30,2017,30,4,120,17,0,"Test"
"32","DA Warner (AUS)",130,"156",119,"11","2",109.24,"1","","v Pakistan","Sydney","22 Jan 2017","","AUS","",2017-01-22,2017,22,1,22,11,2,"ODI"
"33","KS Williamson (NZ)",130,"380",241,"18","0",53.94,"2","","v South Africa","Dunedin","8 Mar 2017","","NZ","",2017-03-08,2017,8,3,67,18,0,"Test"
"34","D Elgar (SA)",129,"362",230,"15","0",56.08,"1","","v Sri Lanka","Cape Town","2 Jan 2017","","SA","",2017-01-02,2017,2,1,2,15,0,"Test"
"35","TM Head (AUS)",128,"219",137,"9","3",93.43,"1","","v Pakistan","Adelaide","26 Jan 2017","","AUS","",2017-01-26,2017,26,1,26,9,3,"ODI"
"36","Tamim Iqbal (BDESH)",128,"184",142,"12","3",90.14,"1","","v England","The Oval","1 Jun 2017","","BDESH","",2017-06-01,2017,1,6,152,12,3,"ODI"
"37","Mushfiqur Rahim (BDESH)",127,"381",262,"16","2",48.47,"2","","v India","Hyderabad (Deccan)","9 Feb 2017","","BDESH","",2017-02-09,2017,9,2,40,16,2,"Test"
"38","Tamim Iqbal (BDESH)",127,"-",142,"15","1",89.43,"1","","v Sri Lanka","Dambulla","25 Mar 2017","","BDESH","",2017-03-25,2017,25,3,84,15,1,"ODI"
"39","Azhar Ali (PAK)",127,"490",334,"8","2",38.02,"1","","v West Indies","Roseau","10 May 2017","","PAK","",2017-05-10,2017,10,5,130,8,2,"Test"
"40","Sikandar Raza (ZIM)",127,"342",205,"9","1",61.95,"3","","v Sri Lanka","Colombo (RPS)","14 Jul 2017","","ZIM","",2017-07-14,2017,14,7,195,9,1,"Test"
"41","FDM Karunaratne (SL)",126,"352",244,"10","1",51.63,"3","","v Bangladesh","Colombo (PSS)","15 Mar 2017","","SL","",2017-03-15,2017,15,3,74,10,1,"Test"
"42","Babar Azam (PAK)",125,"-",132,"7","3",94.69,"1","","v West Indies","Providence","9 Apr 2017","","PAK","TRUE",2017-04-09,2017,9,4,99,7,3,"ODI"
"43","E Lewis (WI)",125,"-",62,"6","12",201.61,"2","","v India","Kingston","9 Jul 2017","","WI","TRUE",2017-07-09,2017,9,7,190,6,12,"T20I"
"44","S Dhawan (INDIA)",125,"198",128,"15","1",97.65,"1","","v Sri Lanka","The Oval","8 Jun 2017","","INDIA","",2017-06-08,2017,8,6,159,15,1,"ODI"
"45","RG Sharma (INDIA)",123,"165",129,"15","1",95.34,"2","","v Bangladesh","Birmingham","15 Jun 2017","","INDIA","TRUE",2017-06-15,2017,15,6,166,15,1,"ODI"
"46","V Kohli (INDIA)",122,"147",105,"8","5",116.19,"2","","v England","Pune","15 Jan 2017","","INDIA","",2017-01-15,2017,15,1,15,8,5,"ODI"
"47","KM Jadhav (INDIA)",120,"125",76,"12","4",157.89,"2","","v England","Pune","15 Jan 2017","","INDIA","",2017-01-15,2017,15,1,15,12,4,"ODI"
"48","WU Tharanga (SL)",119,"121",90,"11","7",132.22,"2","","v South Africa","Cape Town","7 Feb 2017","","SL","",2017-02-07,2017,7,2,38,11,7,"ODI"
"49","WTS Porterfield (IRE)",119,"-",98,"18","0",121.42,"2","","v Afghanistan","Greater Noida","15 Mar 2017","","IRE","",2017-03-15,2017,15,3,74,18,0,"ODI"
"50","HM Nicholls (NZ)",118,"242",161,"15","0",73.29,"1","","v South Africa","Wellington","16 Mar 2017","","NZ","",2017-03-16,2017,16,3,75,15,0,"Test"
"51","DA Miller (SA)",117,"138",98,"3","6",119.38,"1","","v Sri Lanka","Durban","1 Feb 2017","","SA","TRUE",2017-02-01,2017,1,2,32,3,6,"ODI"
"52","Shaiman Anwar (UAE)",117,"-",68,"10","6",172.05,"1","","v P.N.G.","Abu Dhabi","14 Apr 2017","","UAE","TRUE",2017-04-14,2017,14,4,104,10,6,"T20I"
"53","WP Saha (INDIA)",117,"329",233,"8","1",50.21,"2","","v Australia","Ranchi","16 Mar 2017","","INDIA","",2017-03-16,2017,16,3,75,8,1,"Test"
"54","Shakib Al Hasan (BDESH)",116,"251",159,"10","0",72.95,"2","","v Sri Lanka","Colombo (PSS)","15 Mar 2017","","BDESH","",2017-03-15,2017,15,3,74,10,0,"Test"
"55","MD Gunathilaka (SL)",116,"153",111,"15","1",104.5,"2","","v Zimbabwe","Hambantota","6 Jul 2017","","SL","",2017-07-06,2017,6,7,187,15,1,"ODI"
"56","N Dickwella (SL)",116,"172",118,"8","0",98.3,"1","","v Zimbabwe","Hambantota","8 Jul 2017","","SL","",2017-07-08,2017,8,7,189,8,0,"ODI"
"57","WU Tharanga (SL)",115,"225",171,"11","2",67.25,"3","","v Bangladesh","Galle","7 Mar 2017","","SL","",2017-03-07,2017,7,3,66,11,2,"Test"
"58","DAS Gunaratne (SL)",114,"168",117,"14","2",97.43,"2","","v South Africa","Centurion","10 Feb 2017","","SL","TRUE",2017-02-10,2017,10,2,41,14,2,"ODI"
"59","Shakib Al Hasan (BDESH)",114,"184",115,"11","1",99.13,"2","","v New Zealand","Cardiff","9 Jun 2017","","BDESH","",2017-06-09,2017,9,6,160,11,1,"ODI"
"60","Fakhar Zaman (PAK)",114,"142",106,"12","3",107.54,"1","","v India","The Oval","18 Jun 2017","","PAK","",2017-06-18,2017,18,6,169,12,3,"ODI"
"61","DA Warner (AUS)",113,"141",95,"17","0",118.94,"1","","v Pakistan","Sydney","3 Jan 2017","","AUS","",2017-01-03,2017,3,1,3,17,0,"Test"
"62","SF Mire (ZIM)",112,"164",96,"14","0",116.66,"2","","v Sri Lanka","Galle","30 Jun 2017","","ZIM","",2017-06-30,2017,30,6,181,14,0,"ODI"
"63","BA Stokes (ENG)",112,"276",153,"9","4",73.2,"1","","v South Africa","The Oval","27 Jul 2017","","ENG","",2017-07-27,2017,27,7,208,9,4,"Test"
"64","V Kohli (INDIA)",111,"-",115,"12","2",96.52,"2","","v West Indies","Kingston","6 Jul 2017","","INDIA","TRUE",2017-07-06,2017,6,7,187,12,2,"ODI"
"65","SPD Smith (AUS)",111,"224",173,"14","0",64.16,"1","","v India","Dharamsala","25 Mar 2017","","AUS","",2017-03-25,2017,25,3,84,14,0,"Test"
"66","H Masakadza (ZIM)",111,"152",98,"15","1",113.26,"1","","v Sri Lanka","Hambantota","6 Jul 2017","","ZIM","",2017-07-06,2017,6,7,187,15,1,"ODI"
"67","PSP Handscomb (AUS)",110,"319",205,"9","0",53.65,"1","","v Pakistan","Sydney","3 Jan 2017","","AUS","",2017-01-03,2017,3,1,3,9,0,"Test"
"68","AD Hales (ENG)",110,"-",107,"9","5",102.8,"1","","v West Indies","Bridgetown","9 Mar 2017","","ENG","",2017-03-09,2017,9,3,68,9,5,"ODI"
"69","BKG Mendis (SL)",110,"212",135,"17","0",81.48,"3","","v India","Colombo (SSC)","3 Aug 2017","","SL","",2017-08-03,2017,3,8,215,17,0,"Test"
"70","Q de Kock (SA)",109,"111",87,"16","0",125.28,"1","","v Sri Lanka","Centurion","10 Feb 2017","","SA","",2017-02-10,2017,10,2,41,16,0,"ODI"
"71","SPD Smith (AUS)",109,"256",202,"11","0",53.96,"3","","v India","Pune","23 Feb 2017","","AUS","",2017-02-23,2017,23,2,54,11,0,"Test"
"72","Rohan Mustafa (UAE)",109,"-",125,"7","1",87.2,"1","","v P.N.G.","Abu Dhabi","4 Apr 2017","","UAE","",2017-04-04,2017,4,4,94,7,1,"ODI"
"73","NJ O'Brien (IRE)",109,"-",131,"9","5",83.2,"2","","v New Zealand","Dublin (Malahide)","14 May 2017","","IRE","",2017-05-14,2017,14,5,134,9,5,"ODI"
