"","Player","Runs","Mins","BF","4s","6s","SR","Inns","","Opposition","Ground","Start Date",""
"1","DI Gower (ENG)","0","10","10","0","0","0.00","1","","v Australia","Birmingham","30 Jul 1981",""
"2","RW Taylor (ENG)","0","1","3","0","0","0.00","1","","v Australia","Birmingham","30 Jul 1981",""
"3","RM Hogg (AUS)","0","1","0","0","0","-","2","","v England","Birmingham","30 Jul 1981",""
"4","RJ Bright (AUS)","0","1","1","0","0","0.00","4","","v England","Birmingham","30 Jul 1981",""
"5","TM Alderman (AUS)","0","2","3","0","0","0.00","4","","v England","Birmingham","30 Jul 1981",""
"6","IT Botham (ENG)","0","1","1","0","0","0.00","1","","v Australia","Manchester","13 Aug 1981",""
"7","J Dyson (AUS)","0","18","11","0","0","0.00","2","","v England","Manchester","13 Aug 1981",""
"8","GN Yallop (AUS)","0","1","2","0","0","0.00","2","","v England","Manchester","13 Aug 1981",""
"9","MR Whitney (AUS)","0","6","7","0","0","0.00","2","","v England","Manchester","13 Aug 1981",""
"10","TM Alderman (AUS)","0","13","10","0","0","0.00","4","","v England","Manchester","13 Aug 1981",""
"11","MR Whitney (AUS)","0","38","42","0","0","0.00","4","","v England","Manchester","13 Aug 1981",""
"12","TM Alderman (AUS)","0","2","2","0","0","0.00","1","","v England","The Oval","27 Aug 1981",""
"13","JM Brearley (ENG)","0","5","6","0","0","0.00","2","","v Australia","The Oval","27 Aug 1981",""
"14","PWG Parker (ENG)","0","2","3","0","0","0.00","2","","v Australia","The Oval","27 Aug 1981",""
"15","JE Emburey (ENG)","0","1","2","0","0","0.00","2","","v Australia","The Oval","27 Aug 1981",""
"16","MR Whitney (AUS)","0","4","3","0","0","0.00","3","","v England","The Oval","27 Aug 1981",""
"17","G Boycott (ENG)","0","2","4","0","0","0.00","4","","v Australia","The Oval","27 Aug 1981",""
"18","Mudassar Nazar (PAK)","0","2","5","0","0","0.00","2","","v Australia","Perth","13 Nov 1981",""
"19","Rizwan-uz-Zaman (PAK)","0","6","1","0","0","0.00","2","","v Australia","Perth","13 Nov 1981",""
"20","Majid Khan (PAK)","0","13","8","0","0","0.00","4","","v Australia","Perth","13 Nov 1981",""
"21","Imran Khan (PAK)","0","3","3","0","0","0.00","1","","v Australia","Brisbane","27 Nov 1981",""
"22","Zaheer Abbas (PAK)","0","2","3","0","0","0.00","3","","v Australia","Brisbane","27 Nov 1981",""
"23","K Srikkanth (INDIA)","0","11","10","0","0","0.00","1","","v England","Mumbai","27 Nov 1981",""
"24","S Madan Lal (INDIA)","0","5","2","0","0","0.00","1","","v England","Mumbai","27 Nov 1981",""
"25","DR Doshi (INDIA)","0","2","2","0","0","0.00","1","","v England","Mumbai","27 Nov 1981",""
"26","JE Emburey (ENG)","0","14","14","0","0","0.00","2","","v India","Mumbai","27 Nov 1981",""
